Id_people,Predicted Bin,Real Bin,Modality,Exposures
3,6,5,Auditory,E1
3,1,5,Auditory,E1
3,6,1,Auditory,E1
3,6,4,Auditory,E1
3,1,1,Auditory,E1
3,1,5,Auditory,E1
3,5,5,Auditory,E1
3,6,5,Auditory,E1
3,5,6,Auditory,E1
3,1,4,Auditory,E1
3,3,1,Auditory,E1
3,6,6,Auditory,E1
4,1,4,Auditory,E1
4,2,2,Auditory,E1
4,5,3,Auditory,E1
4,6,1,Auditory,E1
4,4,2,Auditory,E1
4,2,1,Auditory,E1
4,2,5,Auditory,E1
4,1,2,Auditory,E1
4,4,4,Auditory,E1
4,6,3,Auditory,E1
4,4,6,Auditory,E1
4,1,3,Auditory,E1
4,3,6,Auditory,E1
4,6,3,Auditory,E1
4,2,5,Auditory,E1
4,6,6,Auditory,E1
4,6,3,Auditory,E1
4,1,6,Auditory,E1
4,3,5,Auditory,E1
4,4,1,Auditory,E1
4,3,1,Auditory,E1
4,6,6,Auditory,E1
4,4,4,Auditory,E1
4,1,2,Auditory,E1
4,4,6,Auditory,E1
4,1,3,Auditory,E1
4,4,1,Auditory,E1
4,2,2,Auditory,E1
4,6,6,Auditory,E1
4,1,6,Auditory,E1
4,3,6,Auditory,E1
4,6,6,Auditory,E1
4,2,3,Auditory,E1
4,4,1,Auditory,E1
4,6,2,Auditory,E1
4,6,4,Auditory,E1
4,6,2,Auditory,E1
4,6,2,Auditory,E1
4,5,4,Auditory,E1
4,6,4,Auditory,E1
4,6,5,Auditory,E1
4,6,2,Auditory,E1
4,5,2,Auditory,E1
4,1,2,Auditory,E1
4,4,2,Auditory,E1
4,4,6,Auditory,E1
4,1,4,Auditory,E1
4,3,3,Auditory,E1
4,4,1,Auditory,E1
4,2,1,Auditory,E1
4,2,4,Auditory,E1
4,4,4,Auditory,E1
4,2,3,Auditory,E1
4,2,3,Auditory,E1
4,1,4,Auditory,E1
4,6,5,Auditory,E1
4,1,3,Auditory,E1
4,1,6,Auditory,E1
4,6,1,Auditory,E1
4,4,5,Auditory,E1
4,4,5,Auditory,E1
4,4,2,Auditory,E1
4,4,3,Auditory,E1
4,2,2,Auditory,E1
4,4,6,Auditory,E1
4,6,4,Auditory,E1
4,4,1,Auditory,E1
4,5,4,Auditory,E1
4,2,1,Auditory,E1
4,2,2,Auditory,E1
4,2,6,Auditory,E1
4,2,1,Auditory,E1
4,1,2,Auditory,E1
4,2,4,Auditory,E1
4,4,6,Auditory,E1
4,1,6,Auditory,E1
4,4,6,Auditory,E1
4,4,4,Auditory,E1
4,2,2,Auditory,E1
4,2,4,Auditory,E1
4,3,6,Auditory,E1
4,4,2,Auditory,E1
4,6,4,Auditory,E1
4,1,1,Auditory,E1
4,3,4,Auditory,E1
4,4,6,Auditory,E1
4,2,1,Auditory,E1
4,4,4,Auditory,E1
4,4,6,Auditory,E1
4,6,2,Auditory,E1
4,4,4,Auditory,E1
4,4,2,Auditory,E1
4,4,6,Auditory,E1
4,4,1,Auditory,E1
4,6,4,Auditory,E1
4,6,4,Auditory,E1
4,2,2,Auditory,E1
4,5,1,Auditory,E1
4,6,4,Auditory,E1
4,5,1,Auditory,E1
4,5,3,Auditory,E1
4,1,4,Auditory,E1
5,6,3,Auditory,E1
5,6,4,Auditory,E1
5,2,2,Auditory,E1
5,6,1,Auditory,E1
5,4,3,Auditory,E1
5,1,1,Auditory,E1
5,5,2,Auditory,E1
5,2,4,Auditory,E1
5,1,1,Auditory,E1
5,6,5,Auditory,E1
5,2,3,Auditory,E1
5,1,2,Auditory,E1
5,4,2,Auditory,E1
5,2,1,Auditory,E1
5,5,6,Auditory,E1
5,6,5,Auditory,E1
5,6,5,Auditory,E1
5,4,4,Auditory,E1
5,4,3,Auditory,E1
5,3,4,Auditory,E1
5,4,1,Auditory,E1
5,6,5,Auditory,E1
5,4,6,Auditory,E1
5,4,4,Auditory,E1
5,6,6,Auditory,E1
5,2,4,Auditory,E1
5,5,2,Auditory,E1
5,4,4,Auditory,E1
5,1,2,Auditory,E1
5,6,6,Auditory,E1
5,6,6,Auditory,E1
5,2,1,Auditory,E1
5,2,2,Auditory,E1
5,2,1,Auditory,E1
5,2,4,Auditory,E1
5,3,3,Auditory,E1
5,4,4,Auditory,E1
5,4,4,Auditory,E1
5,4,4,Auditory,E1
5,5,2,Auditory,E1
5,6,4,Auditory,E1
5,2,1,Auditory,E1
5,3,3,Auditory,E1
5,2,1,Auditory,E1
5,2,4,Auditory,E1
5,4,5,Auditory,E1
5,3,3,Auditory,E1
5,2,3,Auditory,E1
5,4,4,Auditory,E1
5,6,4,Auditory,E1
5,3,6,Auditory,E1
5,6,2,Auditory,E1
5,4,2,Auditory,E1
5,2,1,Auditory,E1
5,4,5,Auditory,E1
5,4,2,Auditory,E1
5,5,2,Auditory,E1
5,3,6,Auditory,E1
5,2,3,Auditory,E1
5,1,1,Auditory,E1
5,2,1,Auditory,E1
5,2,4,Auditory,E1
5,2,1,Auditory,E1
5,6,2,Auditory,E1
5,4,3,Auditory,E1
5,3,2,Auditory,E1
5,5,2,Auditory,E1
5,4,1,Auditory,E1
5,6,2,Auditory,E1
5,3,6,Auditory,E1
5,1,5,Auditory,E1
5,6,6,Auditory,E1
5,4,6,Auditory,E1
5,1,6,Auditory,E1
5,6,3,Auditory,E1
5,2,2,Auditory,E1
5,4,6,Auditory,E1
5,4,2,Auditory,E1
5,5,6,Auditory,E1
5,6,2,Auditory,E1
5,6,5,Auditory,E1
5,4,6,Auditory,E1
5,2,2,Auditory,E1
5,1,2,Auditory,E1
5,4,2,Auditory,E1
5,2,3,Auditory,E1
5,2,2,Auditory,E1
5,3,5,Auditory,E1
5,3,3,Auditory,E1
5,2,4,Auditory,E1
5,3,3,Auditory,E1
5,3,3,Auditory,E1
5,3,4,Auditory,E1
5,1,2,Auditory,E1
5,6,3,Auditory,E1
5,1,1,Auditory,E1
5,6,4,Auditory,E1
5,2,1,Auditory,E1
5,2,5,Auditory,E1
5,2,4,Auditory,E1
5,2,6,Auditory,E1
5,6,5,Auditory,E1
5,2,6,Auditory,E1
5,2,5,Auditory,E1
5,3,3,Auditory,E1
5,4,4,Auditory,E1
5,4,3,Auditory,E1
5,2,5,Auditory,E1
5,3,5,Auditory,E1
5,4,1,Auditory,E1
5,4,4,Auditory,E1
5,6,4,Auditory,E1
5,2,2,Auditory,E1
5,2,2,Auditory,E1
5,2,5,Auditory,E1
5,6,4,Auditory,E1
5,5,4,Auditory,E1
5,6,5,Auditory,E1
5,2,4,Auditory,E1
5,6,1,Auditory,E1
6,4,5,Auditory,E1
6,5,3,Auditory,E1
6,6,3,Auditory,E1
6,6,3,Auditory,E1
6,6,5,Auditory,E1
6,1,2,Auditory,E1
6,2,1,Auditory,E1
6,4,1,Auditory,E1
6,2,1,Auditory,E1
6,2,2,Auditory,E1
6,3,2,Auditory,E1
6,5,6,Auditory,E1
6,2,2,Auditory,E1
6,6,3,Auditory,E1
6,3,3,Auditory,E1
6,1,2,Auditory,E1
6,3,2,Auditory,E1
6,5,3,Auditory,E1
6,1,5,Auditory,E1
6,4,4,Auditory,E1
6,2,1,Auditory,E1
6,2,3,Auditory,E1
6,4,6,Auditory,E1
6,3,6,Auditory,E1
6,1,2,Auditory,E1
6,1,1,Auditory,E1
6,5,4,Auditory,E1
6,1,6,Auditory,E1
6,3,6,Auditory,E1
6,6,3,Auditory,E1
6,5,3,Auditory,E1
6,6,6,Auditory,E1
6,5,6,Auditory,E1
6,2,3,Auditory,E1
6,5,4,Auditory,E1
6,4,6,Auditory,E1
6,1,6,Auditory,E1
6,5,4,Auditory,E1
6,2,5,Auditory,E1
6,6,6,Auditory,E1
6,4,6,Auditory,E1
6,6,4,Auditory,E1
6,6,6,Auditory,E1
6,2,3,Auditory,E1
6,4,1,Auditory,E1
6,2,1,Auditory,E1
6,3,4,Auditory,E1
6,5,6,Auditory,E1
6,6,5,Auditory,E1
6,6,3,Auditory,E1
6,3,1,Auditory,E1
6,4,4,Auditory,E1
6,3,6,Auditory,E1
6,2,4,Auditory,E1
6,5,5,Auditory,E1
6,6,6,Auditory,E1
6,6,3,Auditory,E1
6,6,4,Auditory,E1
6,1,6,Auditory,E1
6,2,1,Auditory,E1
6,5,1,Auditory,E1
6,5,3,Auditory,E1
6,5,5,Auditory,E1
6,4,5,Auditory,E1
6,3,4,Auditory,E1
6,5,6,Auditory,E1
6,6,2,Auditory,E1
6,3,5,Auditory,E1
6,2,4,Auditory,E1
6,6,6,Auditory,E1
6,3,1,Auditory,E1
6,5,2,Auditory,E1
6,6,2,Auditory,E1
6,4,2,Auditory,E1
6,1,5,Auditory,E1
6,5,5,Auditory,E1
6,1,3,Auditory,E1
6,3,2,Auditory,E1
6,4,2,Auditory,E1
6,6,4,Auditory,E1
6,4,6,Auditory,E1
6,5,3,Auditory,E1
6,1,1,Auditory,E1
6,4,5,Auditory,E1
6,3,1,Auditory,E1
6,6,3,Auditory,E1
6,4,6,Auditory,E1
6,5,2,Auditory,E1
6,1,4,Auditory,E1
6,3,2,Auditory,E1
6,6,5,Auditory,E1
6,3,1,Auditory,E1
6,3,3,Auditory,E1
6,6,4,Auditory,E1
6,2,3,Auditory,E1
6,5,4,Auditory,E1
6,3,1,Auditory,E1
6,1,2,Auditory,E1
6,6,3,Auditory,E1
6,6,5,Auditory,E1
6,6,4,Auditory,E1
6,4,2,Auditory,E1
6,5,1,Auditory,E1
6,6,2,Auditory,E1
6,1,4,Auditory,E1
6,1,3,Auditory,E1
6,4,5,Auditory,E1
6,1,2,Auditory,E1
6,4,1,Auditory,E1
6,2,3,Auditory,E1
6,3,3,Auditory,E1
6,5,2,Auditory,E1
6,4,5,Auditory,E1
6,6,5,Auditory,E1
6,5,1,Auditory,E1
6,5,4,Auditory,E1
6,4,4,Auditory,E1
6,4,2,Auditory,E1
6,2,4,Auditory,E1
7,4,6,Auditory,E1
7,2,2,Auditory,E1
7,5,3,Auditory,E1
7,4,5,Auditory,E1
7,6,4,Auditory,E1
7,4,3,Auditory,E1
7,6,2,Auditory,E1
7,2,3,Auditory,E1
7,2,1,Auditory,E1
7,2,3,Auditory,E1
7,4,6,Auditory,E1
7,5,2,Auditory,E1
7,5,6,Auditory,E1
7,4,2,Auditory,E1
7,4,4,Auditory,E1
7,6,5,Auditory,E1
7,2,1,Auditory,E1
7,1,1,Auditory,E1
7,2,2,Auditory,E1
7,6,2,Auditory,E1
7,4,6,Auditory,E1
7,4,6,Auditory,E1
7,3,3,Auditory,E1
7,2,6,Auditory,E1
7,2,5,Auditory,E1
7,2,1,Auditory,E1
7,2,1,Auditory,E1
7,6,2,Auditory,E1
7,6,6,Auditory,E1
7,5,5,Auditory,E1
7,6,4,Auditory,E1
7,4,5,Auditory,E1
7,6,5,Auditory,E1
7,3,3,Auditory,E1
7,3,6,Auditory,E1
7,5,2,Auditory,E1
7,4,1,Auditory,E1
7,4,5,Auditory,E1
7,2,3,Auditory,E1
7,5,2,Auditory,E1
7,6,4,Auditory,E1
7,6,6,Auditory,E1
7,1,1,Auditory,E1
7,4,5,Auditory,E1
7,4,4,Auditory,E1
7,1,1,Auditory,E1
7,4,2,Auditory,E1
7,1,3,Auditory,E1
7,4,5,Auditory,E1
7,2,3,Auditory,E1
7,2,6,Auditory,E1
7,6,6,Auditory,E1
7,6,5,Auditory,E1
7,4,4,Auditory,E1
7,4,6,Auditory,E1
7,6,2,Auditory,E1
7,4,4,Auditory,E1
7,2,6,Auditory,E1
7,3,6,Auditory,E1
7,4,2,Auditory,E1
7,4,3,Auditory,E1
7,6,4,Auditory,E1
7,4,2,Auditory,E1
7,3,1,Auditory,E1
7,5,5,Auditory,E1
7,2,1,Auditory,E1
7,2,5,Auditory,E1
7,3,5,Auditory,E1
7,2,4,Auditory,E1
7,2,2,Auditory,E1
7,2,2,Auditory,E1
7,3,5,Auditory,E1
7,4,4,Auditory,E1
7,6,4,Auditory,E1
7,3,4,Auditory,E1
7,5,1,Auditory,E1
7,5,2,Auditory,E1
7,4,4,Auditory,E1
7,3,2,Auditory,E1
7,3,5,Auditory,E1
7,2,6,Auditory,E1
7,6,6,Auditory,E1
7,2,3,Auditory,E1
7,2,5,Auditory,E1
7,2,5,Auditory,E1
7,6,3,Auditory,E1
7,3,3,Auditory,E1
7,5,6,Auditory,E1
7,4,3,Auditory,E1
7,1,1,Auditory,E1
7,1,2,Auditory,E1
